,dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label,proto_3pc,proto_a/n,proto_aes-sp3-d,proto_any,proto_argus,proto_aris,proto_arp,proto_ax.25,proto_bbn-rcc,proto_bna,proto_br-sat-mon,proto_cbt,proto_cftp,proto_chaos,proto_compaq-peer,proto_cphb,proto_cpnx,proto_crtp,proto_crudp,proto_dcn,proto_ddp,proto_ddx,proto_dgp,proto_egp,proto_eigrp,proto_emcon,proto_encap,proto_etherip,proto_fc,proto_fire,proto_ggp,proto_gmtp,proto_gre,proto_hmp,proto_i-nlsp,proto_iatp,proto_ib,proto_icmp,proto_idpr,proto_idpr-cmtp,proto_idrp,proto_ifmp,proto_igmp,proto_igp,proto_il,proto_ip,proto_ipcomp,proto_ipcv,proto_ipip,proto_iplt,proto_ipnip,proto_ippc,proto_ipv6,proto_ipv6-frag,proto_ipv6-no,proto_ipv6-opts,proto_ipv6-route,proto_ipx-n-ip,proto_irtp,proto_isis,proto_iso-ip,proto_iso-tp4,proto_kryptolan,proto_l2tp,proto_larp,proto_leaf-1,proto_leaf-2,proto_merit-inp,proto_mfe-nsp,proto_mhrp,proto_micp,proto_mobile,proto_mtp,proto_mux,proto_narp,proto_netblt,proto_nsfnet-igp,proto_nvp,proto_ospf,proto_pgm,proto_pim,proto_pipe,proto_pnni,proto_pri-enc,proto_prm,proto_ptp,proto_pup,proto_pvp,proto_qnx,proto_rdp,proto_rsvp,proto_rtp,proto_rvd,proto_sat-expak,proto_sat-mon,proto_sccopmce,proto_scps,proto_sctp,proto_sdrp,proto_secure-vmtp,proto_sep,proto_skip,proto_sm,proto_smp,proto_snp,proto_sprite-rpc,proto_sps,proto_srp,proto_st2,proto_stp,proto_sun-nd,proto_swipe,proto_tcf,proto_tcp,proto_tlsp,proto_tp++,proto_trunk-1,proto_trunk-2,proto_ttp,proto_udp,proto_unas,proto_uti,proto_vines,proto_visa,proto_vmtp,proto_vrrp,proto_wb-expak,proto_wb-mon,proto_wsn,proto_xnet,proto_xns-idp,proto_xtp,proto_zero,service_-,service_dhcp,service_dns,service_ftp,service_ftp-data,service_http,service_irc,service_pop3,service_radius,service_smtp,service_snmp,service_ssh,service_ssl,state_ACC,state_CLO,state_CON,state_ECO,state_FIN,state_INT,state_PAR,state_REQ,state_RST,state_URN,state_no,attack_cat_Analysis,attack_cat_Backdoor,attack_cat_DoS,attack_cat_Exploits,attack_cat_Fuzzers,attack_cat_Generic,attack_cat_Normal,attack_cat_Reconnaissance,attack_cat_Shellcode,attack_cat_Worms
dur,0.0,0.0,1.3367427417423188,0.17321265777131534,0.0,0.0,0.0,0.0,0.0,-0.06397982730841811,-0.2079078829531855,-1.1589723077500513,0.13336237820925956,-0.03337918332765341,0.10009574372310032,0.10562795115099864,0.0,0.014978181798706108,0.020840946387294196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027411778817988855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027969087915828634,0.015542578766276077,0.0,0.0,-0.5957181405428932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.443338188318441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013170618731537043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.219016715539395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7667446051089577,0.0,0.0,0.0,0.0,0.4201493556496581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12654586874027046,-0.03616413210027141,-0.05381109367123973,0.0,0.09428853558758012,0.0,0.0,0.0,-0.2449577550037227,0.18979887339841744,0.0,0.0,0.0,-0.00013485546035560275,0.0,0.0,-0.0001405448912451152,1.7606089786799635,0.5031975626013299,0.000642740314685979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spkts,0.017999646217089278,0.0,0.9730386559687226,0.43451109368892077,0.0,0.0,0.0,0.0,0.0,0.03507158205124274,0.35410864258383734,-0.7701010118651315,-0.00421614948108377,0.0,-0.004457359760726123,0.003121654694011044,0.0,0.003667542258334481,0.003104439982903024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01274130314190705,0.0,0.0,0.0,0.0,0.0,0.0,0.002389277684952819,0.0,-0.0012296863567851995,0.0,0.0,0.010616881145444925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07091783380419833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18641429647846028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08155291480246088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036894683170138415,0.0,0.0,-0.05254772239140088,0.0,-0.017435899135721553,0.0,0.04806375729088315,0.0,0.0,0.0,0.0,0.0008609479248930632,0.0,0.0,-0.006505678896514352,0.0,0.0,0.00831599205790495,-0.006153116227821796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpkts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sbytes,0.0,0.0,0.22248384506448934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009796759509152606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08938682986843428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019002970517156506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06946139972508232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02120419910489117,0.0,0.0,0.0,0.0,0.0,-0.0984818863685568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.493654426269503e-05,0.0,0.0,-0.0002570393864957757,-0.0007864640514747227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dbytes,0.0,0.0,-0.005420956536151027,0.0014934727010230775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0053228926483067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010501010147077727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012289320204115915,0.002797472489173279,0.0,0.0,-0.05815725405055754,0.0010483234620926147,-3.699191285215013e-08,0.0010266314448320716,-0.018505110334280945,3.836310448796092e-07,1.1743123288054112e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rate,-0.03258478021429228,0.0,0.005299835212020744,0.004358753903071725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15191383835826597,0.0,0.011419800591193753,0.0,-0.07946343025390074,-0.2730948873171722,0.0,-0.19077199448274143,0.0,-0.018156837251917572,0.0,0.0,0.0,-1.2165134000864413,0.0,0.0,0.0,0.0,-0.43990185568888013,0.0,0.0,0.0,-0.34112988491713636,0.3930068002107429,0.0,0.0,0.0,0.3392659696696213,-0.35003230115817763,0.5105298859685871,-0.49158036166027036,0.12088162252020385,1.327544359349603,0.0,-0.18917289248659094,0.0,0.0,0.0,0.0,-1.2988944719497149,0.645964647637334,-0.20849154224797417,0.0,0.0,0.0,0.0,1.0621748567211657,0.0,0.5604461213996784,0.0,-0.35003977255359564,0.6441157743299453,0.0,0.0,0.0,0.24970441833280876,0.0,0.0,0.20392863294220903,-0.058482680315130285,0.0,0.0,0.11615205324644809,0.0,0.0,-0.000943041389142148,0.0,0.0,0.0798251638647789,0.43770891841117643,0.0,-0.427351682350017,0.0,-0.6734538656963324,1.0128595286824087,-1.215418105751573,-0.41942208812261095,0.0,0.1588061215541278,0.0,-1.0192937905147033,0.0,-0.7383062353304324,-0.10466947964801637,0.0,-0.00887590720199646,0.0,0.0,0.0,0.0,0.0,1.0104225096986668,0.5185785801315708,0.0,-1.1564908928636137,0.0,0.0,0.0,0.5192291200053191,0.0,-0.09778308621227522,-0.19752153059820976,0.6308473407793719,0.0,0.0,0.0,0.6827323105172093,-0.36234541636788214,0.0,-0.03793653621917472,-1.2169559392640408,0.0,-0.16621165776361765,-0.5718473323168103,0.0,-0.026099062309921782,0.0,-0.07401619341659636,-0.1780431908241311,0.5465653202317587,0.0,0.0,-0.05836875531179813,-0.32284941381163473,-0.2397149621830115,1.4821256776156704,0.0,0.0,0.0,0.3230774716953953,0.0,1.5382189761720777,0.0,0.0,0.0,0.0,-0.07329340837610065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2583798616416553,-1.27229429661672,-1.27980678926772,1.4730272570990774,-1.2649980446551543,0.0,-0.002688577306547369,-0.29511113892979596,-1.250523486601298,0.0,-0.002685040609939755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sttl,0.027400137038990715,0.0,-0.9247229303618089,0.18017258045844164,0.0,0.0,0.0,0.0,0.0,-0.1662229324041857,0.0,0.9321275955103848,0.0,0.009698111386484255,0.025597918399844752,-0.027842185456831613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03815039374894846,-0.33092106348256384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11821802170506662,0.0,-0.03711822382501787,0.0,0.0,-0.12634495037027116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3621889936855536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8033071896503098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8074992680109545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8077633099623635,-0.8036020606028469,0.0,0.13691767587296996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0919566926490774,-0.3466221834905949,0.0,-0.27592113408535207,0.0,-1.3522085826166497,0.0,-1.0212030318637482,0.0,-0.8735066233156382,-0.04513248888711859,-1.8911614224858362,-1.718537842268682,-0.5684488813915032,-0.0345966928526481,-1.8801457555086067,-0.2468565853423488,0.0,0.007415707527641559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dttl,0.0,0.0,-0.005893662909672873,0.0,0.0,0.0,0.12701494375774813,0.0,0.0,-0.03416789788573582,0.017999026949525324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7992572891147876,88.55531962732582,-51.296864725581095,-43.5271527002288,0.0,0.0,0.0,0.0,0.0,1.1146270472417592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006478479712320285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.558191353858387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.414941038454156,4.778770833297472,7.030059018985804,0.21698330276788694,9.012894899992522,4.327241304925497,0.23546974287685785,0.0,8.595531429728982,-0.001239314133439409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sload,-0.0035228662058040777,0.0,0.0,-0.05494805663979729,0.0,0.5481267840511891,-0.050522544784670755,0.0,0.0,0.0,0.0,0.000507283144200077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40129176771207914,0.02438690860413353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11129870661159524,0.0,0.0,0.0,0.0,0.0,-0.03317490011433987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11624937096675293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24593287420749127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017063639696948147,0.0,0.0,0.0,0.0,0.0,0.0,-0.044528972536090436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012485275108560399,0.0,0.0,0.0,0.0,-1.053748674588201,0.0,0.0,0.0,0.1882397370621358,0.24255829074073976,0.010813751265098133,0.0,0.0,0.4285795975586683,-0.21633683386523678,0.21536132969825034,0.3843501904880079,0.13850593985014795,0.16209226707003704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dload,0.0,0.0,2.359684998912966,-0.4173847276816931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.178541827127196,0.0,0.0,0.0,-0.037004494088871194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07617367733447779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03598235275681556,0.0,0.0,0.0,0.0,-0.22811937320350575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13146706760303686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1912928116837419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36212275107356323,0.22449901868125097,-0.2604536013641192,0.0,-0.2403608084750778,0.0,-0.360691939947989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0408149369242535e-05,-0.1687293032881438,0.0,-0.00010728433090406772,-0.00032825810052583527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
