row_index,true_label,true_name,pred_label,TotalScore_B,TotalScore_M
0,0,benign,malicious,3.118698863872579,1.251586258745637
1,0,benign,benign,3.3856829706498432,7.85485514593434
2,1,malicious,benign,2.969672436554178,3.8154138485218763
3,1,malicious,benign,2.475734135026915,3.057137746357175
4,0,benign,benign,3.3856829706498432,7.85485514593434
5,1,malicious,benign,2.2755532059509544,2.387949299343373
6,1,malicious,malicious,5.515831754851635,4.321523288291623
7,1,malicious,malicious,3.302440262905131,1.251586258745637
8,1,malicious,benign,2.4697140515469735,2.7459191136068695
9,1,malicious,malicious,3.6592011364378876,1.251586258745637
10,1,malicious,malicious,3.302440262905131,1.251586258745637
11,0,benign,benign,2.205186659551708,5.1482982987270915
12,0,benign,benign,2.39349919699208,5.658730824721231
13,1,malicious,malicious,4.613268727448257,1.709136296043508
14,1,malicious,benign,2.738098907515913,2.9350642491881214
15,1,malicious,malicious,3.302440262905131,1.251586258745637
16,1,malicious,benign,2.3864847535404516,5.756239214553425
17,1,malicious,benign,2.4976763091600125,5.4096109562317345
18,1,malicious,malicious,3.6592011364378876,1.251586258745637
19,0,benign,benign,2.51817129878533,2.582010984082037
20,1,malicious,malicious,3.638467843593053,1.251586258745637
21,0,benign,benign,1.771702083736696,3.455022473604898
22,0,benign,benign,1.5436594411578486,4.293166978752182
23,1,malicious,malicious,3.566707447125645,1.251586258745637
24,1,malicious,malicious,3.302440262905131,1.251586258745637
25,0,benign,malicious,3.118698863872579,1.251586258745637
26,1,malicious,benign,3.090097162853258,4.07756450728281
27,1,malicious,malicious,3.302440262905131,1.251586258745637
28,1,malicious,malicious,3.4758410146307073,1.251586258745637
29,0,benign,benign,3.356880032374094,7.85485514593434
30,1,malicious,malicious,3.6592011364378876,1.251586258745637
31,1,malicious,malicious,3.302440262905131,1.251586258745637
32,1,malicious,benign,2.5955388055562167,5.577646591248706
33,1,malicious,malicious,3.302440262905131,1.251586258745637
34,1,malicious,malicious,3.6592011364378876,1.251586258745637
35,1,malicious,benign,2.1394624882666893,3.398754730113434
36,0,benign,benign,4.871505089662425,7.5190674566726265
37,1,malicious,malicious,3.302440262905131,1.251586258745637
38,1,malicious,benign,2.51817129878533,3.861702928761166
39,1,malicious,malicious,3.302440262905131,1.251586258745637
40,1,malicious,malicious,3.795002785470503,2.999715604039893
41,1,malicious,malicious,3.1906939796737372,1.251586258745637
42,0,benign,benign,1.4595875403331964,4.4786335301574365
43,1,malicious,malicious,3.6592011364378876,1.251586258745637
44,1,malicious,malicious,3.1906939796737372,1.251586258745637
45,0,benign,benign,3.3856829706498432,7.85485514593434
46,1,malicious,malicious,4.077955780380239,2.6878431452368647
47,1,malicious,malicious,3.302440262905131,1.251586258745637
48,1,malicious,benign,2.126047213946991,4.61433468610832
49,1,malicious,malicious,2.602339652086049,1.251586258745637
50,1,malicious,malicious,3.302440262905131,1.251586258745637
51,1,malicious,malicious,3.5972257806028924,1.251586258745637
52,0,benign,benign,2.39349919699208,3.2465853856724154
53,0,benign,benign,1.554266055174447,4.710758670826146
54,1,malicious,malicious,3.1906939796737372,1.251586258745637
55,1,malicious,malicious,3.6592011364378876,1.251586258745637
56,1,malicious,malicious,3.1906939796737372,1.251586258745637
57,1,malicious,benign,2.488421605369795,2.9549102169613635
58,0,benign,benign,2.932145513873172,4.305054616272724
59,0,benign,malicious,3.118698863872579,1.251586258745637
60,1,malicious,malicious,3.1906939796737372,1.251586258745637
61,1,malicious,benign,2.4106514780467263,5.7226892353862695
62,1,malicious,malicious,3.5689195265490827,1.251586258745637
63,0,benign,benign,2.39349919699208,2.6935422352134846
64,1,malicious,malicious,3.302440262905131,1.251586258745637
65,1,malicious,malicious,3.302440262905131,1.251586258745637
66,0,benign,benign,3.4450585036582124,3.800100557023691
67,0,benign,malicious,4.800601659304299,2.0678680227882276
68,1,malicious,benign,2.873357803036491,5.388365754790847
69,0,benign,benign,1.7064172483446696,5.8140471554588125
70,0,benign,benign,3.3856829706498432,7.85485514593434
71,0,benign,malicious,4.776503498705479,2.312695026081932
72,1,malicious,benign,3.4874526291323273,5.269248086813562
73,1,malicious,malicious,3.302440262905131,1.251586258745637
74,1,malicious,malicious,3.1906939796737372,1.251586258745637
75,1,malicious,malicious,3.302440262905131,1.251586258745637
76,0,benign,benign,1.5693248177221095,6.413451007069425
77,0,benign,benign,2.398067475693436,2.8396453464164555
78,1,malicious,malicious,3.302440262905131,1.251586258745637
79,1,malicious,malicious,3.118698863872579,1.251586258745637
80,1,malicious,malicious,3.302440262905131,1.251586258745637
81,1,malicious,malicious,3.6592011364378876,1.251586258745637
82,0,benign,benign,1.490325464946009,4.296272386231605
83,1,malicious,benign,2.596106786496982,3.6809576422249464
84,1,malicious,malicious,3.302440262905131,1.251586258745637
85,1,malicious,malicious,3.1225744474632533,3.066606862966381
86,0,benign,benign,3.3856829706498432,7.4122805142314245
87,1,malicious,benign,3.879110425687752,8.39601040716811
88,1,malicious,malicious,3.143787670153371,1.251586258745637
89,1,malicious,benign,1.12470856721862,7.05242402662424
90,1,malicious,malicious,3.302440262905131,1.251586258745637
91,1,malicious,malicious,3.6592011364378876,1.251586258745637
92,1,malicious,malicious,3.6592011364378876,1.251586258745637
93,1,malicious,benign,2.51817129878533,3.142481200321792
94,0,benign,benign,1.7082034503982142,4.9409479699909085
95,1,malicious,benign,2.4461644182143116,4.835432620328809
96,0,benign,benign,3.622674568470255,7.510203008663185
97,1,malicious,malicious,3.1906939796737372,1.251586258745637
98,1,malicious,malicious,3.118698863872579,1.251586258745637
99,1,malicious,benign,2.081737311168749,4.830032747402581
100,1,malicious,malicious,3.1906939796737372,1.251586258745637
101,0,benign,benign,3.3856829706498432,7.85485514593434
102,0,benign,benign,3.3856829706498432,7.4122805142314245
103,1,malicious,malicious,3.143787670153371,1.251586258745637
104,1,malicious,malicious,3.302440262905131,1.251586258745637
105,1,malicious,malicious,4.668290856131851,3.2812720965626467
106,1,malicious,malicious,3.6592011364378876,1.251586258745637
107,1,malicious,malicious,3.6592011364378876,1.251586258745637
108,1,malicious,benign,2.6217960664727245,3.449455515448229
109,0,benign,benign,1.5472412223082086,5.797991509614861
110,0,benign,benign,2.554735884579748,3.325973489299873
111,0,benign,benign,1.5020717272111566,5.189251050035132
112,1,malicious,malicious,3.302440262905131,1.251586258745637
113,1,malicious,malicious,3.1906939796737372,1.251586258745637
114,1,malicious,malicious,2.5205816702914934,1.251586258745637
115,0,benign,benign,3.3856829706498432,7.85485514593434
116,1,malicious,malicious,3.302440262905131,1.251586258745637
117,1,malicious,malicious,3.1906939796737372,1.251586258745637
118,1,malicious,malicious,3.302440262905131,1.251586258745637
119,1,malicious,malicious,3.302440262905131,1.251586258745637
120,1,malicious,malicious,3.302440262905131,1.251586258745637
121,1,malicious,malicious,3.1906939796737372,1.251586258745637
122,1,malicious,benign,2.807363585254798,3.1808168624651945
123,1,malicious,benign,2.488543753391805,2.9940938166592184
124,1,malicious,benign,3.1682210766578374,4.949333666723276
125,0,benign,benign,1.1029589347704762,5.915149259549354
126,0,benign,benign,2.398067475693436,3.3248761995153675
127,1,malicious,malicious,3.302440262905131,1.251586258745637
128,1,malicious,benign,1.914008298313648,7.625445909314347
129,0,benign,benign,1.5020717272111566,4.887760921003364
130,0,benign,malicious,3.3817070248792653,1.251586258745637
131,0,benign,benign,3.622759814061377,7.510203008663185
132,0,benign,benign,1.7064172483446696,4.0551102405396
133,0,benign,malicious,3.118698863872579,1.251586258745637
134,1,malicious,benign,2.6741643668203103,4.7610689034944365
135,0,benign,benign,2.554735884579748,3.0010567425282524
136,1,malicious,benign,2.948188131273618,7.974460071319515
137,1,malicious,benign,1.065318558563419,5.047330115166741
138,1,malicious,malicious,3.6294984325122215,1.251586258745637
139,0,benign,benign,1.469869532920463,3.171018178480035
140,0,benign,benign,1.5693248177221095,4.347730846279658
141,0,benign,benign,3.0798035391647174,5.6865961447495845
142,0,benign,benign,2.5411989440561964,3.0938470739744686
143,1,malicious,malicious,3.302440262905131,1.251586258745637
144,0,benign,benign,2.502367546173561,5.385453047462489
145,1,malicious,benign,3.8362244109277444,6.796802943466045
146,0,benign,benign,1.5107338361555074,4.81469587497387
147,1,malicious,malicious,2.4683840121910476,1.251586258745637
148,0,benign,benign,2.39349919699208,4.178701014075547
149,1,malicious,malicious,3.1906939796737372,1.251586258745637
150,0,benign,benign,1.5637304565702528,5.009646148318554
151,1,malicious,benign,2.181025883620916,3.57347722272044
152,1,malicious,benign,3.23259649577863,5.663594168072009
153,1,malicious,malicious,3.302440262905131,1.251586258745637
154,1,malicious,malicious,3.302440262905131,1.251586258745637
155,1,malicious,malicious,3.302440262905131,1.251586258745637
156,0,benign,benign,1.5457057299840533,5.120916561700357
157,1,malicious,benign,3.1103664802295317,4.393097640473453
158,0,benign,benign,2.573883295462542,3.1236359259442876
159,0,benign,benign,1.497285890467219,4.5554926263964415
160,1,malicious,benign,4.349657351243503,4.841480053842508
161,0,benign,benign,1.5020717272111566,5.0293285587471654
162,1,malicious,malicious,3.302440262905131,1.251586258745637
163,1,malicious,malicious,3.302440262905131,1.251586258745637
164,1,malicious,malicious,3.143787670153371,1.251586258745637
165,1,malicious,malicious,3.1906939796737372,1.251586258745637
166,1,malicious,malicious,3.1906939796737372,1.251586258745637
167,1,malicious,malicious,3.302440262905131,1.251586258745637
168,1,malicious,malicious,3.302440262905131,1.251586258745637
169,1,malicious,benign,3.3713290897538952,6.397077198202468
170,1,malicious,malicious,3.302440262905131,1.251586258745637
171,0,benign,benign,3.356880032374094,7.85485514593434
172,0,benign,benign,2.4697140515469735,2.9232353679253418
173,1,malicious,malicious,3.302440262905131,1.251586258745637
174,1,malicious,malicious,3.302440262905131,1.251586258745637
175,1,malicious,malicious,3.302440262905131,1.251586258745637
176,0,benign,benign,1.0266667766330166,4.802871683023417
177,0,benign,benign,3.6473930322965797,7.320937734504585
178,0,benign,benign,1.4814171191069923,4.319894158851691
179,1,malicious,benign,2.4893113346376468,4.303539643321276
180,1,malicious,malicious,3.421563832786573,2.4949653411867163
181,0,benign,benign,1.5457731515887716,3.982149704009041
182,1,malicious,malicious,3.302440262905131,1.251586258745637
183,0,benign,benign,1.5598844655248703,4.2375549998490545
184,1,malicious,benign,2.234697679326721,3.5052510380373167
185,1,malicious,malicious,3.302440262905131,1.251586258745637
186,1,malicious,benign,2.51817129878533,2.9900931449841117
187,0,benign,benign,1.4905070370104643,4.3559882029117665
188,0,benign,benign,2.4561547311530703,3.16110588904132
189,1,malicious,benign,2.6486289556479807,3.19597892759454
190,1,malicious,malicious,3.6592011364378876,1.251586258745637
191,0,benign,benign,1.5782758651224864,7.623595619298258
192,1,malicious,benign,2.9557698064937363,6.2035439762828615
193,0,benign,benign,1.1597341596290942,5.068215667639382
194,1,malicious,malicious,2.6533357575120244,2.572614470780369
195,0,benign,benign,0.9793976663674147,7.068399813391401
196,0,benign,benign,1.5434339513819235,4.6893480479441045
197,1,malicious,benign,2.4697140515469735,3.1910952527129104
198,1,malicious,malicious,3.302440262905131,1.251586258745637
199,1,malicious,benign,3.128858495009323,4.793237720105934
200,0,benign,malicious,4.800601659304299,2.312695026081932
201,1,malicious,benign,1.0971051138678494,4.936288176360314
202,0,benign,benign,1.544666485794253,5.68616827461916
203,1,malicious,malicious,3.302440262905131,1.251586258745637
204,0,benign,benign,3.0798035391647174,5.6865961447495845
205,1,malicious,malicious,3.1906939796737372,1.251586258745637
206,0,benign,benign,1.6184548509599452,5.86696666025686
207,1,malicious,benign,1.12470856721862,4.712333847563311
208,0,benign,benign,1.5330778202433915,5.189657354240847
209,0,benign,benign,3.6473930322965797,7.528206576247303
210,0,benign,benign,2.588045830157676,3.234905135721275
211,1,malicious,malicious,3.6592011364378876,1.251586258745637
212,0,benign,malicious,2.595305096155168,1.251586258745637
213,1,malicious,malicious,2.4327222408402416,1.251586258745637
214,0,benign,benign,3.5545342317491624,7.395303850045316
215,1,malicious,malicious,3.1906939796737372,1.251586258745637
216,1,malicious,malicious,3.1906939796737372,1.251586258745637
217,1,malicious,malicious,3.302440262905131,1.251586258745637
218,0,benign,benign,2.670871881011662,3.059387183003053
219,1,malicious,malicious,3.302440262905131,1.251586258745637
220,0,benign,benign,1.2938367705665776,4.83636086454222
221,1,malicious,benign,2.812633738151371,3.7487782864560675
222,1,malicious,malicious,3.302440262905131,1.251586258745637
223,1,malicious,benign,2.2933226186114952,4.14021727509496
224,1,malicious,malicious,3.118698863872579,1.251586258745637
225,0,benign,benign,1.5457731515887716,4.970824316485754
226,1,malicious,malicious,5.120496437429543,2.4122922940461415
227,1,malicious,malicious,3.302440262905131,1.251586258745637
228,1,malicious,benign,2.4234694448827185,5.119284925757904
229,1,malicious,benign,2.51817129878533,3.9768556086708866
230,1,malicious,benign,3.0722814997391765,6.110171857990881
231,1,malicious,malicious,3.302440262905131,1.251586258745637
232,0,benign,benign,1.2642610016504043,4.811346598082762
233,1,malicious,benign,2.51817129878533,4.9846764866539655
234,1,malicious,malicious,3.302440262905131,1.251586258745637
235,0,benign,benign,2.2699190585675755,3.072178506725626
236,0,benign,benign,1.1597341596290942,5.764461528991342
237,1,malicious,malicious,3.302440262905131,1.251586258745637
238,0,benign,benign,1.5020717272111566,6.633829999882285
239,0,benign,malicious,2.602339652086049,1.251586258745637
240,1,malicious,malicious,3.302440262905131,1.251586258745637
241,1,malicious,malicious,3.302440262905131,1.251586258745637
242,1,malicious,malicious,2.51817129878533,2.4807009363643844
243,1,malicious,malicious,3.302440262905131,1.251586258745637
244,1,malicious,malicious,3.6592011364378876,1.251586258745637
245,1,malicious,benign,2.51817129878533,2.9340322450171685
246,1,malicious,benign,2.6532704104566025,5.031056704191316
247,1,malicious,malicious,3.1906939796737372,1.251586258745637
248,1,malicious,benign,2.5244279867197594,3.0016494115129713
249,1,malicious,benign,2.7274945298149076,3.8378652464766163
250,1,malicious,benign,2.475734135026915,3.785637276811423
251,1,malicious,malicious,3.302440262905131,1.251586258745637
252,1,malicious,malicious,2.9159816803508356,2.745120361989005
253,1,malicious,benign,2.398067475693436,3.811488571553249
254,0,benign,benign,2.4818362322720446,3.399807301668477
255,0,benign,benign,3.648514726223281,7.510203008663185
256,0,benign,benign,2.2557242280949947,4.161751428843241
257,1,malicious,benign,2.2557242280949947,5.964612456800534
258,0,benign,benign,2.3257443650347263,2.6354408973976993
259,0,benign,benign,1.4774542755998477,5.01394222336033
260,1,malicious,malicious,2.9821960805527583,1.2524698426547842
261,0,benign,benign,2.435179993754339,3.0117388124898357
262,1,malicious,malicious,3.2799411110612073,1.2524698426547842
263,1,malicious,malicious,3.2799411110612073,1.2524698426547842
264,1,malicious,malicious,2.9821960805527583,1.2524698426547842
265,1,malicious,malicious,3.5698738771816165,1.2524698426547842
266,1,malicious,malicious,3.162241144924602,1.2524698426547842
267,0,benign,benign,2.1965623177756592,2.7307410696097905
268,1,malicious,benign,2.8519024900813905,5.5686711278054375
269,0,benign,benign,2.0905190414998827,4.151619626377043
270,1,malicious,benign,2.494071197053146,2.9514919656165146
271,1,malicious,malicious,3.2799411110612073,1.2524698426547842
272,1,malicious,malicious,3.2799411110612073,1.2524698426547842
273,0,benign,benign,2.387832833057787,3.683549139114068
274,1,malicious,benign,2.3469192304942252,2.9381486282943494
275,0,benign,benign,1.5595709761663978,4.166369288590999
276,0,benign,benign,1.2805760886441724,4.489809362690414
277,0,benign,benign,4.2092449814906905,8.583967564528722
278,1,malicious,malicious,2.424754407816369,1.2524698426547842
279,1,malicious,malicious,3.162241144924602,1.2524698426547842
280,1,malicious,malicious,3.2799411110612073,1.2524698426547842
281,1,malicious,malicious,3.2799411110612073,1.2524698426547842
282,0,benign,benign,3.7302799214291316,8.61957088164414
